,P value,Reactome_ID,FDR,Description
R-HSA-5619067,4.8244747833628335e-09,R-HSA-5619067,4.727985287695577e-07,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)
R-HSA-6798695,3.581959904155353e-05,R-HSA-6798695,0.001170106902024082,Neutrophil degranulation
R-HSA-168249,2.413905417302564e-05,R-HSA-168249,0.001170106902024082,Innate Immune System
R-HSA-5619102,0.0007217192206216929,R-HSA-5619102,0.01768212090523148,SLC transporter disorders
R-HSA-168256,0.001520474274676048,R-HSA-168256,0.02526790750166058,Immune System
R-HSA-5263617,0.0018048505358328984,R-HSA-5263617,0.02526790750166058,Metabolism of ingested MeSeO2H into MeSeH
R-HSA-1268020,0.0015680325538251828,R-HSA-1268020,0.02526790750166058,Mitochondrial protein import
R-HSA-5619115,0.0028161492755372592,R-HSA-5619115,0.03449782862533143,Disorders of transmembrane transporters
R-HSA-2408550,0.005405393720601275,R-HSA-2408550,0.05885873162432499,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
R-HSA-435368,0.0072010960113096534,R-HSA-435368,0.07057074091083461,Zinc efflux and compartmentalization by the SLC30 family
R-HSA-425407,0.009544938521012533,R-HSA-425407,0.08503672500538438,SLC-mediated transmembrane transport
R-HSA-9013700,0.012569983379975853,R-HSA-9013700,0.0933268751326047,NOTCH4 Activation and Transmission of Signal to the Nucleus
R-HSA-5336415,0.01435355532245568,R-HSA-5336415,0.0933268751326047,Uptake and function of diphtheria toxin
R-HSA-193692,0.01435355532245568,R-HSA-193692,0.0933268751326047,Regulated proteolysis of p75NTR
R-HSA-9017802,0.01435355532245568,R-HSA-9017802,0.0933268751326047,Noncanonical activation of NOTCH3
R-HSA-2408522,0.015237040837976275,R-HSA-2408522,0.0933268751326047,Selenoamino acid metabolism
