,P value,Reactome_ID,FDR,Description
R-HSA-193648,1.5231507908246084e-09,R-HSA-193648,2.2999576941451585e-07,NRAGE signals death through JNK
R-HSA-204998,1.6383023566986315e-08,R-HSA-204998,1.2369182793074667e-06,"Cell death signalling via NRAGE, NRIF and NADE"
R-HSA-193704,9.945572702441377e-08,R-HSA-193704,5.005938260228826e-06,p75 NTR receptor-mediated signalling
R-HSA-5683826,3.2726899213168174e-07,R-HSA-5683826,1.2354404452970986e-05,Surfactant metabolism
R-HSA-73887,1.080562426557864e-06,R-HSA-73887,3.2632985282047494e-05,Death Receptor Signalling
R-HSA-9007892,2.6724575002889003e-06,R-HSA-9007892,6.725684709060398e-05,Interleukin-38 signaling
R-HSA-9664420,5.118945158691614e-06,R-HSA-9664420,9.662008987030421e-05,Killing mechanisms
R-HSA-9673324,5.118945158691614e-06,R-HSA-9673324,9.662008987030421e-05,WNT5:FZD7-mediated leishmania damping
R-HSA-450321,5.921177749907464e-06,R-HSA-450321,9.934420447066969e-05,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
R-HSA-6805567,7.766313909211794e-06,R-HSA-6805567,0.0001066103091173619,Keratinization
R-HSA-6809371,7.766313909211794e-06,R-HSA-6809371,0.0001066103091173619,Formation of the cornified envelope
R-HSA-2871796,1.887791131909219e-05,R-HSA-2871796,0.00023754705076524336,FCERI mediated MAPK activation
R-HSA-181438,3.884196924700557e-05,R-HSA-181438,0.0004189383825927029,Toll Like Receptor 2 (TLR2) Cascade
R-HSA-168179,3.884196924700557e-05,R-HSA-168179,0.0004189383825927029,Toll Like Receptor TLR1:TLR2 Cascade
R-HSA-376172,5.584777227896185e-05,R-HSA-376172,0.000562200907608216,DSCAM interactions
R-HSA-349425,6.078056883976763e-05,R-HSA-349425,0.000573616618425307,Autodegradation of the E3 ubiquitin ligase COP1
R-HSA-69541,7.774383097087839e-05,R-HSA-69541,0.0006521843598112576,Stabilization of p53
R-HSA-166016,7.717671733748898e-05,R-HSA-166016,0.0006521843598112576,Toll Like Receptor 4 (TLR4) Cascade
R-HSA-69580,9.754274363570142e-05,R-HSA-69580,0.0007364477144495456,p53-Dependent G1/S DNA damage checkpoint
R-HSA-69563,9.754274363570142e-05,R-HSA-69563,0.0007364477144495456,p53-Dependent G1 DNA Damage Response
R-HSA-69615,0.00010295924377405819,R-HSA-69615,0.0007403259909467995,G1/S DNA Damage Checkpoints
R-HSA-1474228,0.00011044227526112773,R-HSA-1474228,0.0007580356165650131,Degradation of the extracellular matrix
R-HSA-168898,0.00017270561884418425,R-HSA-168898,0.0011338499324118183,Toll-like Receptor Cascades
R-HSA-2559580,0.0002179415411860206,R-HSA-2559580,0.001371215529962046,Oxidative Stress Induced Senescence
R-HSA-205043,0.00024035584266734038,R-HSA-205043,0.0014517492897107357,NRIF signals cell death from the nucleus
R-HSA-450294,0.00039452948043651643,R-HSA-450294,0.002206442649848666,MAP kinase activation
R-HSA-448424,0.00039452948043651643,R-HSA-448424,0.002206442649848666,Interleukin-17 signaling
R-HSA-975138,0.0009080232592421994,R-HSA-975138,0.0043646402633061515,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
R-HSA-168188,0.0009538617793980332,R-HSA-168188,0.0043646402633061515,Toll Like Receptor TLR6:TLR2 Cascade
R-HSA-168142,0.0009538617793980332,R-HSA-168142,0.0043646402633061515,Toll Like Receptor 10 (TLR10) Cascade
R-HSA-166058,0.0009538617793980332,R-HSA-166058,0.0043646402633061515,MyD88:MAL(TIRAP) cascade initiated on plasma membrane
R-HSA-975871,0.0009538617793980332,R-HSA-975871,0.0043646402633061515,MyD88 cascade initiated on plasma membrane
R-HSA-168176,0.0009538617793980332,R-HSA-168176,0.0043646402633061515,Toll Like Receptor 5 (TLR5) Cascade
R-HSA-975155,0.001074843995532298,R-HSA-975155,0.004386525495280459,MyD88 dependent cascade initiated on endosome
R-HSA-937061,0.001049908612807391,R-HSA-937061,0.004386525495280459,TRIF(TICAM1)-mediated TLR4 signaling 
R-HSA-166166,0.001049908612807391,R-HSA-166166,0.004386525495280459,MyD88-independent TLR4 cascade 
R-HSA-168181,0.001074843995532298,R-HSA-168181,0.004386525495280459,Toll Like Receptor 7/8 (TLR7/8) Cascade
